danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.0958,0.322,10,-13.753,0,0.0458,0.159,0.855,0.105,0.0332,87.339,audio_features,58vWVeAtv2LKwlYyRLPWV5,spotify:track:58vWVeAtv2LKwlYyRLPWV5,https://api.spotify.com/v1/tracks/58vWVeAtv2LKwlYyRLPWV5,https://api.spotify.com/v1/audio-analysis/58vWVeAtv2LKwlYyRLPWV5,374400,3
0.313,0.082,2,-21.063,1,0.0334,0.935,0.849,0.335,0.18,92.554,audio_features,16i2ij3Q3tqSpZjHXbTDXW,spotify:track:16i2ij3Q3tqSpZjHXbTDXW,https://api.spotify.com/v1/tracks/16i2ij3Q3tqSpZjHXbTDXW,https://api.spotify.com/v1/audio-analysis/16i2ij3Q3tqSpZjHXbTDXW,303173,4
0.331,0.00922,10,-30.88,1,0.041,0.993,0.953,0.102,0.0713,132.883,audio_features,503fwzlbWHx5g0CqlU9Giu,spotify:track:503fwzlbWHx5g0CqlU9Giu,https://api.spotify.com/v1/tracks/503fwzlbWHx5g0CqlU9Giu,https://api.spotify.com/v1/audio-analysis/503fwzlbWHx5g0CqlU9Giu,242587,3
0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,audio_features,0DqFXzLtKkj9JO421NJpl1,spotify:track:0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/tracks/0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/audio-analysis/0DqFXzLtKkj9JO421NJpl1,363253,4
0.126,0.204,4,-16.095,0,0.0373,0.924,0.918,0.115,0.053,73.59,audio_features,1TQ2UYCN7nhfj3cfcFC76V,spotify:track:1TQ2UYCN7nhfj3cfcFC76V,https://api.spotify.com/v1/tracks/1TQ2UYCN7nhfj3cfcFC76V,https://api.spotify.com/v1/audio-analysis/1TQ2UYCN7nhfj3cfcFC76V,183000,4
0.137,0.0326,6,-29.102,0,0.0379,0.928,0.916,0.162,0.0755,82.805,audio_features,7F0TGSmNn87tqm4tB81m4U,spotify:track:7F0TGSmNn87tqm4tB81m4U,https://api.spotify.com/v1/tracks/7F0TGSmNn87tqm4tB81m4U,https://api.spotify.com/v1/audio-analysis/7F0TGSmNn87tqm4tB81m4U,315933,4
0.42,0.0876,3,-28.052,1,0.0425,0.995,0.9,0.102,0.278,82.496,audio_features,5xVcnhVL0AwcOgbpuxTu6W,spotify:track:5xVcnhVL0AwcOgbpuxTu6W,https://api.spotify.com/v1/tracks/5xVcnhVL0AwcOgbpuxTu6W,https://api.spotify.com/v1/audio-analysis/5xVcnhVL0AwcOgbpuxTu6W,266213,4
0.222,0.00847,5,-29.725,1,0.0401,0.992,0.883,0.0912,0.147,67.386,audio_features,0DMTFPtUOkBgfM4U0Ih8LR,spotify:track:0DMTFPtUOkBgfM4U0Ih8LR,https://api.spotify.com/v1/tracks/0DMTFPtUOkBgfM4U0Ih8LR,https://api.spotify.com/v1/audio-analysis/0DMTFPtUOkBgfM4U0Ih8LR,296773,4
0.303,0.00958,8,-28.556,1,0.054,0.991,0.953,0.109,0.212,72.204,audio_features,7elLKWtTEMCbOmYZ37ci9r,spotify:track:7elLKWtTEMCbOmYZ37ci9r,https://api.spotify.com/v1/tracks/7elLKWtTEMCbOmYZ37ci9r,https://api.spotify.com/v1/audio-analysis/7elLKWtTEMCbOmYZ37ci9r,264845,5
0.175,0.212,6,-14.073,1,0.0374,0.85,0.86,0.0979,0.128,132.026,audio_features,47kA4ykK0Rlwjf8oV2HMo7,spotify:track:47kA4ykK0Rlwjf8oV2HMo7,https://api.spotify.com/v1/tracks/47kA4ykK0Rlwjf8oV2HMo7,https://api.spotify.com/v1/audio-analysis/47kA4ykK0Rlwjf8oV2HMo7,277853,3
0.307,0.036,2,-28.755,0,0.0522,0.995,0.801,0.0941,0.171,138.26,audio_features,5Gm2tHCFTzb0vHZfReSr5f,spotify:track:5Gm2tHCFTzb0vHZfReSr5f,https://api.spotify.com/v1/tracks/5Gm2tHCFTzb0vHZfReSr5f,https://api.spotify.com/v1/audio-analysis/5Gm2tHCFTzb0vHZfReSr5f,211440,3
0.0869,0.0587,3,-22.846,1,0.0397,0.929,0.762,0.113,0.0372,86.027,audio_features,3NrOSg735np3PW8OEvt5F8,spotify:track:3NrOSg735np3PW8OEvt5F8,https://api.spotify.com/v1/tracks/3NrOSg735np3PW8OEvt5F8,https://api.spotify.com/v1/audio-analysis/3NrOSg735np3PW8OEvt5F8,225133,4
0.456,0.456,11,-16.055,0,0.0535,0.973,0.353,0.186,0.974,144.489,audio_features,4XJXYvjW0CB2MLMk8l7Vdi,spotify:track:4XJXYvjW0CB2MLMk8l7Vdi,https://api.spotify.com/v1/tracks/4XJXYvjW0CB2MLMk8l7Vdi,https://api.spotify.com/v1/audio-analysis/4XJXYvjW0CB2MLMk8l7Vdi,210680,3
0.07,0.0724,4,-25.949,0,0.0404,0.946,0.896,0.286,0.0369,75.518,audio_features,0H3JiNc4CGnFVwMqWvACmO,spotify:track:0H3JiNc4CGnFVwMqWvACmO,https://api.spotify.com/v1/tracks/0H3JiNc4CGnFVwMqWvACmO,https://api.spotify.com/v1/audio-analysis/0H3JiNc4CGnFVwMqWvACmO,327600,4
0.217,0.159,4,-19.013,0,0.0459,0.961,0.943,0.101,0.0395,104.533,audio_features,1BpKbG3NkHgK5AypMtdUv9,spotify:track:1BpKbG3NkHgK5AypMtdUv9,https://api.spotify.com/v1/tracks/1BpKbG3NkHgK5AypMtdUv9,https://api.spotify.com/v1/audio-analysis/1BpKbG3NkHgK5AypMtdUv9,317781,4
0.326,0.0436,5,-30.607,0,0.0407,0.995,0.908,0.0997,0.458,70.121,audio_features,7zv2BCCUu8bwd9fo9BA8IK,spotify:track:7zv2BCCUu8bwd9fo9BA8IK,https://api.spotify.com/v1/tracks/7zv2BCCUu8bwd9fo9BA8IK,https://api.spotify.com/v1/audio-analysis/7zv2BCCUu8bwd9fo9BA8IK,248293,4
0.0888,0.105,7,-21.092,1,0.0538,0.977,0.9,0.11,0.0317,176.347,audio_features,2bHvQDx7KWAWxlopZGZDMo,spotify:track:2bHvQDx7KWAWxlopZGZDMo,https://api.spotify.com/v1/tracks/2bHvQDx7KWAWxlopZGZDMo,https://api.spotify.com/v1/audio-analysis/2bHvQDx7KWAWxlopZGZDMo,137693,1
0.235,0.365,7,-13.863,1,0.0356,0.927,0.907,0.17,0.126,91.187,audio_features,63ZSow0dnUhOr175IbNZa2,spotify:track:63ZSow0dnUhOr175IbNZa2,https://api.spotify.com/v1/tracks/63ZSow0dnUhOr175IbNZa2,https://api.spotify.com/v1/audio-analysis/63ZSow0dnUhOr175IbNZa2,183667,3
0.149,0.101,2,-19.935,0,0.0342,0.984,0.917,0.184,0.0486,79.567,audio_features,4Lpe7VxL34rcMnpfOwoqOI,spotify:track:4Lpe7VxL34rcMnpfOwoqOI,https://api.spotify.com/v1/tracks/4Lpe7VxL34rcMnpfOwoqOI,https://api.spotify.com/v1/audio-analysis/4Lpe7VxL34rcMnpfOwoqOI,202000,4
0.321,0.0492,7,-32.892,0,0.047,0.994,0.892,0.104,0.118,88.036,audio_features,0iiTQYE1uhTDxQIwugbZMc,spotify:track:0iiTQYE1uhTDxQIwugbZMc,https://api.spotify.com/v1/tracks/0iiTQYE1uhTDxQIwugbZMc,https://api.spotify.com/v1/audio-analysis/0iiTQYE1uhTDxQIwugbZMc,90053,4
0.377,0.0105,6,-32.994,1,0.0426,0.994,0.895,0.0638,0.0996,76.055,audio_features,3vSOD8Ng5m8eLH4EhoJcTL,spotify:track:3vSOD8Ng5m8eLH4EhoJcTL,https://api.spotify.com/v1/tracks/3vSOD8Ng5m8eLH4EhoJcTL,https://api.spotify.com/v1/audio-analysis/3vSOD8Ng5m8eLH4EhoJcTL,143806,3
